item,recorte,Branca 2012T1,Branca 2026T2,cresc.% Branca,Negra 2012T1,Negra 2026T2,cresc.% Negra,Indígena 2012T1,Indígena 2026T2,cresc.% Indígena,cresceu mais,hiato B-N R$ 2012T1,hiato B-N R$ 2026T2,hiato B-N R$,hiato B-I R$ 2012T1,hiato B-I R$ 2026T2,hiato B-N % 2012T1,hiato B-N % 2026T2,hiato B-I % 2012T1,hiato B-I % 2026T2
1. Raça,Brasil,3768.3,4505.7,19.6,2076.8,2686.8,29.4,1975.8,2538.8,28.5,Negra,1691.5,1819.0,subiu,1792.5,1966.9,81.4,67.7,90.7,77.5
2. Raça × Gênero,Combinado,3768.3,4505.7,19.6,2076.8,2686.8,29.4,1975.8,2538.8,28.5,Negra,1691.5,1819.0,subiu,1792.5,1966.9,81.4,67.7,90.7,77.5
2. Raça × Gênero,Mulheres,3105.0,3952.5,27.3,1790.6,2419.9,35.1,1581.6,2542.1,60.7,Indígena,1314.4,1532.7,subiu,1523.4,1410.4,73.4,63.3,96.3,55.5
2. Raça × Gênero,Homens,4510.8,5127.4,13.7,2370.7,2963.7,25.0,2412.3,2534.9,5.1,Negra,2140.1,2163.8,subiu,2098.5,2592.6,90.3,73.0,87.0,102.3
3. Raça × Faixa Etária,Combinado,3768.3,4505.7,19.6,2076.8,2686.8,29.4,1975.8,2538.8,28.5,Negra,1691.5,1819.0,subiu,1792.5,1966.9,81.4,67.7,90.7,77.5
3. Raça × Faixa Etária,14-17 anos,1141.1,1193.8,4.6,868.6,989.4,13.9,924.0,654.0,-29.2,Negra,272.5,204.4,caiu,217.1,539.8,31.4,20.7,23.5,82.5
3. Raça × Faixa Etária,18-24 anos,2065.6,2319.2,12.3,1573.6,1931.1,22.7,1572.2,1887.7,20.1,Negra,492.0,388.1,caiu,493.4,431.5,31.3,20.1,31.4,22.9
3. Raça × Faixa Etária,25-39 anos,3809.4,4662.9,22.4,2292.4,2931.3,27.9,2312.5,2728.6,18.0,Negra,1517.0,1731.6,subiu,1496.9,1934.3,66.2,59.1,64.7,70.9
3. Raça × Faixa Etária,40-59 anos,4726.8,5440.2,15.1,2602.7,3124.6,20.1,2464.1,3268.6,32.6,Indígena,2124.1,2315.6,subiu,2262.7,2171.6,81.6,74.1,91.8,66.4
3. Raça × Faixa Etária,60+ anos,4630.2,4922.3,6.3,1996.2,2697.0,35.1,1428.4,2175.5,52.3,Indígena,2634.0,2225.3,caiu,3201.7,2746.8,132.0,82.5,224.1,126.3
4. Raça × Geração,Combinado,3786.9,4563.2,20.5,2104.0,2745.0,30.5,2110.8,2546.2,20.6,Negra,1682.9,1818.3,subiu,1676.1,2017.0,80.0,66.2,79.4,79.2
4. Raça × Geração,Baby Boomer,4950.7,4919.2,-0.6,2561.4,2699.9,5.4,2014.8,1633.8,-18.9,Negra,2389.3,2219.3,caiu,2935.9,3285.4,93.3,82.2,145.7,201.1
4. Raça × Geração,Geração X,4331.3,5324.7,22.9,2492.5,3045.5,22.2,2343.6,2967.2,26.6,Indígena,1838.8,2279.2,subiu,1987.7,2357.5,73.8,74.8,84.8,79.5
4. Raça × Geração,Millennial,2767.7,5272.7,90.5,1843.2,3143.5,70.6,2159.5,3451.7,59.8,Branca,924.6,2129.1,subiu,608.2,1820.9,50.2,67.7,28.2,52.8
4. Raça × Geração,Geração Z,941.5,2938.2,212.1,627.3,2197.3,250.3,1123.2,1893.3,68.6,Negra,314.2,740.9,subiu,-181.7,1044.9,50.1,33.7,-16.2,55.2
5. Raça × Escolaridade,Combinado,3415.8,4141.5,21.2,2006.3,2530.8,26.1,1934.7,2386.1,23.3,Negra,1409.5,1610.6,subiu,1481.1,1755.4,70.3,63.6,76.6,73.6
5. Raça × Escolaridade,Sem instrução,1501.7,2316.0,54.2,1028.0,1426.2,38.7,862.5,1061.5,23.1,Branca,473.7,889.8,subiu,639.3,1254.5,46.1,62.4,74.1,118.2
5. Raça × Escolaridade,Fundamental incompl.,1947.0,2208.9,13.5,1507.3,1719.0,14.1,1466.5,1393.0,-5.0,Negra,439.7,489.9,subiu,480.4,815.9,29.2,28.5,32.8,58.6
5. Raça × Escolaridade,Fundamental compl.,2353.0,2480.5,5.4,1821.6,2022.0,11.0,1710.0,2002.9,17.1,Indígena,531.5,458.5,caiu,643.1,477.6,29.2,22.7,37.6,23.8
5. Raça × Escolaridade,Médio incompl.,2158.2,2331.5,8.0,1686.2,1954.1,15.9,1643.1,1637.7,-0.3,Negra,472.1,377.5,caiu,515.1,693.8,28.0,19.3,31.3,42.4
5. Raça × Escolaridade,Médio compl.,3072.6,3034.1,-1.3,2328.4,2410.8,3.5,2122.4,2277.5,7.3,Indígena,744.2,623.4,caiu,950.2,756.6,32.0,25.9,44.8,33.2
5. Raça × Escolaridade,Superior incompl.,3902.1,3566.4,-8.6,3090.5,2952.5,-4.5,4627.9,2692.5,-41.8,Negra,811.6,613.9,caiu,-725.8,874.0,26.3,20.8,-15.7,32.5
5. Raça × Escolaridade,Superior compl.,8605.3,8104.0,-5.8,6192.9,5700.9,-7.9,5054.7,5725.2,13.3,Indígena,2412.4,2403.1,caiu,3550.6,2378.8,39.0,42.2,70.2,41.5
6. Raça × Gênero × Faixa Etária,Mulheres · 14-17 anos,1128.9,1178.5,4.4,788.4,919.1,16.6,657.0,715.0,8.8,Negra,340.5,259.5,caiu,471.9,463.5,43.2,28.2,71.8,64.8
6. Raça × Gênero × Faixa Etária,Mulheres · 18-24 anos,1887.2,2180.9,15.6,1449.1,1752.7,21.0,1203.4,1714.3,42.5,Indígena,438.1,428.2,caiu,683.8,466.6,30.2,24.4,56.8,27.2
6. Raça × Gênero × Faixa Etária,Mulheres · 25-39 anos,3261.2,4185.4,28.3,1995.5,2665.7,33.6,1862.6,2536.0,36.2,Indígena,1265.7,1519.7,subiu,1398.7,1649.4,63.4,57.0,75.1,65.0
6. Raça × Gênero × Faixa Etária,Mulheres · 40-59 anos,3776.1,4627.5,22.5,2189.3,2750.8,25.6,2150.0,3391.3,57.7,Indígena,1586.8,1876.7,subiu,1626.1,1236.3,72.5,68.2,75.6,36.5
6. Raça × Gênero × Faixa Etária,Mulheres · 60+ anos,3465.1,4217.5,21.7,1605.8,2430.4,51.3,1151.7,2333.0,102.6,Indígena,1859.3,1787.1,caiu,2313.5,1884.4,115.8,73.5,200.9,80.8
7. Raça × Gênero × Geração,Mulheres · Baby Boomer,3916.1,4161.3,6.3,2156.2,2439.5,13.1,1955.8,1596.1,-18.4,Negra,1759.9,1721.8,caiu,1960.3,2565.2,81.6,70.6,100.2,160.7
7. Raça × Gênero × Geração,Mulheres · Geração X,3532.1,4531.0,28.3,2115.5,2701.6,27.7,1807.2,3019.4,67.1,Indígena,1416.6,1829.4,subiu,1724.9,1511.6,67.0,67.7,95.4,50.1
7. Raça × Gênero × Geração,Mulheres · Millennial,2512.2,4616.4,83.8,1658.4,2798.1,68.7,1735.3,3659.1,110.9,Indígena,853.8,1818.3,subiu,776.9,957.3,51.5,65.0,44.8,26.2
7. Raça × Gênero × Geração,Mulheres · Geração Z,983.9,2741.9,178.7,602.5,2013.2,234.1,1234.8,1645.1,33.2,Negra,381.4,728.7,subiu,-250.9,1096.8,63.3,36.2,-20.3,66.7
8. Raça × Gênero × Escolaridade,Mulheres · Sem instrução,1231.0,2243.0,82.2,879.3,1304.1,48.3,564.2,850.6,50.8,Branca,351.7,938.8,subiu,666.8,1392.4,40.0,72.0,118.2,163.7
8. Raça × Gênero × Escolaridade,Mulheres · Fundamental incompl.,1444.4,1721.7,19.2,1170.0,1377.1,17.7,1175.5,1385.3,17.8,Branca,274.4,344.6,subiu,268.9,336.4,23.5,25.0,22.9,24.3
8. Raça × Gênero × Escolaridade,Mulheres · Fundamental compl.,1778.4,1830.2,2.9,1420.5,1633.9,15.0,1340.8,1303.6,-2.8,Negra,357.9,196.4,caiu,437.6,526.6,25.2,12.0,32.6,40.4
8. Raça × Gênero × Escolaridade,Mulheres · Médio incompl.,1703.0,1821.2,6.9,1378.2,1590.4,15.4,1463.7,1433.3,-2.1,Negra,324.8,230.8,caiu,239.3,387.9,23.6,14.5,16.3,27.1
8. Raça × Gênero × Escolaridade,Mulheres · Médio compl.,2309.6,2496.0,8.1,1830.6,1992.3,8.8,1561.7,1806.3,15.7,Indígena,479.0,503.7,subiu,747.9,689.7,26.2,25.3,47.9,38.2
8. Raça × Gênero × Escolaridade,Mulheres · Superior incompl.,2891.8,2844.0,-1.7,2400.5,2380.4,-0.8,1963.6,2078.0,5.8,Indígena,491.3,463.6,caiu,928.2,766.0,20.5,19.5,47.3,36.9
8. Raça × Gênero × Escolaridade,Mulheres · Superior compl.,6437.4,6571.9,2.1,4902.0,4826.4,-1.5,4256.9,5818.3,36.7,Indígena,1535.4,1745.5,subiu,2180.6,753.6,31.3,36.2,51.2,13.0
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Sem instrução,641.2,0.0,-100.0,476.6,14.2,-97.0,,,,Negra,164.6,-14.2,caiu,,,34.5,-100.0,,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Fundamental incompl.,733.9,1033.8,40.9,577.7,753.4,30.4,723.5,1000.0,38.2,Branca,156.2,280.5,subiu,10.4,33.8,27.0,37.2,1.4,3.4
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Fundamental compl.,1288.7,906.1,-29.7,693.6,918.2,32.4,43.8,0.0,-100.0,Negra,595.1,-12.1,caiu,1244.9,906.1,85.8,-1.3,2845.2,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Médio incompl.,1021.0,1136.7,11.3,880.3,936.9,6.4,728.5,626.6,-14.0,Branca,140.7,199.8,subiu,292.5,510.2,16.0,21.3,40.2,81.4
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Médio compl.,1472.4,2013.9,36.8,1037.0,1107.5,6.8,0.0,0.0,,Branca,435.4,906.4,subiu,1472.4,2013.9,42.0,81.8,,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Superior incompl.,2655.7,960.0,-63.9,1592.2,1530.5,-3.9,,,,Negra,1063.4,-570.5,caiu,,,66.8,-37.3,,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 14-17 · Superior compl.,,,,,,,,,,—,,,—,,,,,,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Sem instrução,1410.3,1827.0,29.6,1108.9,1499.6,35.2,0.0,0.0,,Negra,301.3,327.4,subiu,1410.3,1827.0,27.2,21.8,,
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Fundamental incompl.,1139.0,1667.2,46.4,973.9,1186.0,21.8,623.1,1275.7,104.7,Indígena,165.1,481.2,subiu,515.8,391.6,17.0,40.6,82.8,30.7
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Fundamental compl.,1450.3,1574.7,8.6,1148.8,1467.8,27.8,1496.4,953.3,-36.3,Negra,301.5,106.9,caiu,-46.1,621.3,26.2,7.3,-3.1,65.2
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Médio incompl.,1455.6,1765.4,21.3,1257.4,1415.9,12.6,892.7,1668.2,86.9,Indígena,198.1,349.4,subiu,562.9,97.2,15.8,24.7,63.1,5.8
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Médio compl.,1688.8,1979.9,17.2,1449.9,1686.0,16.3,941.5,1659.6,76.3,Indígena,238.9,293.9,subiu,747.3,320.3,16.5,17.4,79.4,19.3
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Superior incompl.,1994.3,2109.3,5.8,1812.7,1911.8,5.5,1975.0,1648.7,-16.5,Branca,181.6,197.5,subiu,19.3,460.6,10.0,10.3,1.0,27.9
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 18-24 · Superior compl.,3334.9,3349.2,0.4,2795.7,2679.4,-4.2,3076.7,3674.6,19.4,Indígena,539.2,669.9,subiu,258.2,-325.3,19.3,25.0,8.4,-8.9
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Sem instrução,1445.3,2372.5,64.1,989.4,2082.8,110.5,935.9,2000.0,113.7,Indígena,455.9,289.6,caiu,509.5,372.5,46.1,13.9,54.4,18.6
